Date,Ozone,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,Sulphur dioxide,Status,Sulphur dioxide,Status
12/03/1998,48,V ugm-3,3,V ugm-3,12,V ugm-3,17,V ugm-3,No data,,10,V ugm-3
13/03/1998,26,V ugm-3,2,V ugm-3,18,V ugm-3,21,V ugm-3,No data,,16,V ugm-3
14/03/1998,26,V ugm-3,3,V ugm-3,18,V ugm-3,22,V ugm-3,No data,,3,V ugm-3
15/03/1998,42,V ugm-3,1,V ugm-3,8,V ugm-3,9,V ugm-3,No data,,1,V ugm-3
16/03/1998,33,V ugm-3,2,V ugm-3,16,V ugm-3,19,V ugm-3,No data,,6,V ugm-3
17/03/1998,31,V ugm-3,2,V ugm-3,17,V ugm-3,19,V ugm-3,No data,,6,V ugm-3
18/03/1998,44,V ugm-3,1,V ugm-3,12,V ugm-3,14,V ugm-3,No data,,4,V ugm-3
19/03/1998,33,V ugm-3,11,V ugm-3,15,V ugm-3,32,V ugm-3,No data,,5,V ugm-3
20/03/1998,30,V ugm-3,3,V ugm-3,17,V ugm-3,22,V ugm-3,No data,,11,V ugm-3
21/03/1998,48,V ugm-3,0,V ugm-3,9,V ugm-3,9,V ugm-3,No data,,1,V ugm-3
22/03/1998,52,V ugm-3,1,V ugm-3,8,V ugm-3,9,V ugm-3,No data,,0,V ugm-3
23/03/1998,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,No data,V ugm-3
24/03/1998,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,No data,V ugm-3
25/03/1998,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,No data,V ugm-3
26/03/1998,44,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,0,V ugm-3
27/03/1998,42,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,1,V ugm-3
28/03/1998,37,V ugm-3,3,V ugm-3,16,V ugm-3,20,V ugm-3,No data,,2,V ugm-3
29/03/1998,37,V ugm-3,3,V ugm-3,24,V ugm-3,29,V ugm-3,No data,,5,V ugm-3
30/03/1998,44,V ugm-3,1,V ugm-3,15,V ugm-3,17,V ugm-3,No data,,2,V ugm-3
31/03/1998,40,V ugm-3,3,V ugm-3,17,V ugm-3,21,V ugm-3,No data,,6,V ugm-3
01/04/1998,35,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,4,V ugm-3
02/04/1998,41,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,1,V ugm-3
03/04/1998,67,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,0,V ugm-3
04/04/1998,68,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,0,V ugm-3
05/04/1998,66,V ugm-3,2,V ugm-3,11,V ugm-3,14,V ugm-3,No data,,0,V ugm-3
06/04/1998,51,V ugm-3,1,V ugm-3,16,V ugm-3,17,V ugm-3,No data,,1,V ugm-3
07/04/1998,50,V ugm-3,3,V ugm-3,13,V ugm-3,17,V ugm-3,No data,,1,V ugm-3
08/04/1998,54,V ugm-3,1,V ugm-3,14,V ugm-3,16,V ugm-3,No data,,8,V ugm-3
09/04/1998,68,V ugm-3,0,V ugm-3,12,V ugm-3,12,V ugm-3,No data,,2,V ugm-3
10/04/1998,69,V ugm-3,0,V ugm-3,6,V ugm-3,6,V ugm-3,No data,,0,V ugm-3
11/04/1998,69,V ugm-3,0,V ugm-3,4,V ugm-3,4,V ugm-3,No data,,1,V ugm-3
